comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);ssl;threads;datatype;function;optshare;packbool;protocol;rxbuffer;txbuffer;latencies(ms);bandwidths(Mbs);input_size;preprocess;splitroles;packetdrops(%);verifybuffer;inittime(s);preproc(s);runtime_clock(s);runtime_getTime(s);runtime_chrono(s);runtime_external(s);peakRAM(MiB);jobCPU(%)
2.51;282;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.007020;NA;.037116;.158453;.158432;.160000;4;24
2.53;282;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.013014;NA;.026399;.166066;.166062;.180000;5;17
2.45;282;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.006605;NA;.036211;.043214;.043201;.050000;5;79
2.42;282;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.004960;NA;.033870;.153032;.153019;.160000;5;23
2.37;281;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.012822;NA;.028805;.085101;.085093;.100000;5;33
2.38;282;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.003604;NA;.033126;.175716;.175697;.180000;5;21
2.51;282;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.017622;NA;.027639;.100431;.100423;.120000;5;26
2.67;281;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.006540;NA;.034290;.179146;.179125;.180000;5;21
2.38;282;1;0;1;32;49;1;0;5;32;32;0;25000;1000;0;0;0;16;.006095;NA;.034372;.166986;.166967;.170000;4;22
2.58;282;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.088834;NA;.032654;19.404655;19.404651;19.490000;5;0
2.57;281;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.081475;NA;.047919;17.765299;17.765289;17.850000;5;0
2.38;281;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.076397;NA;.045604;19.350899;19.350879;19.430000;5;0
2.56;281;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.076196;NA;.048933;19.354200;19.354189;19.430000;5;0
2.57;281;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.081860;NA;.063471;19.356201;19.356180;19.440000;4;0
2.39;282;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.079594;NA;.045934;19.252000;19.251980;19.330000;5;0
2.54;283;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.074461;NA;.058574;19.607965;19.607954;19.680000;5;0
2.39;283;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.088919;NA;.041340;19.604613;19.604596;19.690000;5;0
2.63;282;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.075174;NA;.062398;20.111787;20.111782;20.190000;4;0
2.58;282;1;0;1;32;49;1;0;5;32;32;25;25000;1000;0;0;0;16;.073650;NA;.039782;19.508172;19.508152;19.580000;4;0
2.41;282;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.149987;NA;.048629;39.702163;39.702155;39.850000;4;0
2.39;282;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.156498;NA;.054934;40.216273;40.216270;40.370000;4;0
2.56;283;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.151186;NA;.064944;35.195808;35.195797;35.350000;5;0
2.54;281;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.156155;NA;.061818;35.337892;35.337880;35.490000;5;0
2.62;282;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.166213;NA;.043786;38.100724;38.100721;38.270000;4;0
2.57;281;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.151485;NA;.049651;35.150049;35.150030;35.300000;5;0
2.36;282;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.163057;NA;.058239;39.706296;39.706287;39.870000;5;0
2.37;281;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.155696;NA;.050500;39.891832;39.891820;40.050000;5;0
2.39;282;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.158630;NA;.056223;39.920389;39.920368;40.080000;5;0
2.41;282;1;0;1;32;49;1;0;5;32;32;50;25000;1000;0;0;0;16;.152096;NA;.049538;39.890288;39.890277;40.040000;5;0
2.61;282;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.230646;NA;.050753;60.044022;60.044010;60.280000;5;0
2.46;283;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.222449;NA;.059090;52.863931;52.863926;53.090000;4;0
2.64;281;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.231678;NA;.046821;57.800644;57.800624;58.030000;5;0
2.57;281;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.228352;NA;.066805;57.622644;57.622632;57.850000;5;0
2.42;282;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.241981;NA;.039783;59.652589;59.652582;59.890000;4;0
2.63;283;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.239612;NA;.067075;59.455249;59.455238;59.690000;5;0
2.37;282;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.229380;NA;.048509;57.887119;57.887108;58.120000;4;0
2.57;282;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.231003;NA;.051203;52.888608;52.888588;53.120000;5;0
2.39;281;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.231936;NA;.049430;52.888251;52.888242;53.120000;5;0
2.43;282;1;0;1;32;49;1;0;5;32;32;75;25000;1000;0;0;0;16;.228678;NA;.053823;52.887287;52.887275;53.120000;5;0
2.63;283;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.013355;NA;.045642;.100911;.100899;.110000;5;44
2.53;282;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.007194;NA;.045592;.103968;.103957;.110000;5;43
2.44;284;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.007564;NA;.042689;.135385;.135374;.140000;5;33
2.65;282;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.007811;NA;.046251;.086156;.086146;.090000;5;54
2.41;283;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.007262;NA;.043959;.174306;.174295;.180000;5;27
2.45;283;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.007452;NA;.044099;.141514;.141510;.150000;5;32
2.54;282;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.007143;NA;.043086;.174306;.174294;.180000;5;25
2.43;283;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.006860;NA;.047067;.049766;.049746;.060000;5;88
2.66;284;1;0;1;32;50;1;0;5;32;32;0;25000;1000;0;0;0;16;.012805;NA;.037309;.090958;.090940;.100000;4;39
2.70;282;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.079795;NA;.038475;5.260670;5.260667;5.340000;5;0
2.43;284;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.081284;NA;.056200;5.206261;5.206258;5.290000;5;1
2.69;283;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.089631;NA;.034338;4.650727;4.650719;4.740000;5;0
2.70;283;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.079646;NA;.056532;4.956610;4.956606;5.040000;4;1
2.61;282;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.076349;NA;.072715;5.064311;5.064300;5.140000;5;1
2.40;283;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.082970;NA;.064393;4.605089;4.605078;4.690000;5;1
2.68;283;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.083993;NA;.065749;5.210293;5.210282;5.290000;5;1
2.42;282;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.069440;NA;.069852;5.117671;5.117667;5.190000;5;1
2.44;282;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.076564;NA;.062478;5.262505;5.262486;5.340000;5;1
2.62;283;1;0;1;32;50;1;0;5;32;32;25;25000;1000;0;0;0;16;.086481;NA;.037191;4.602101;4.602094;4.690000;5;0
2.53;284;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.159397;NA;.056535;10.562480;10.562470;10.720000;5;0
2.67;283;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.156484;NA;.060699;9.648602;9.648590;9.800000;5;0
2.44;282;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.152373;NA;.080969;10.265727;10.265714;10.420000;5;0
2.67;284;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.146362;NA;.061533;8.859883;8.859872;9.010000;5;0
2.62;283;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.153722;NA;.074218;9.420694;9.420682;9.570000;5;0
2.44;283;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.153479;NA;.062696;9.648632;9.648621;9.800000;5;0
2.45;283;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.147826;NA;.056639;9.256501;9.256496;9.410000;5;0
2.60;282;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.150623;NA;.059656;9.559841;9.559836;9.710000;5;0
2.40;284;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.157132;NA;.072576;9.498476;9.498467;9.650000;5;0
2.64;282;1;0;1;32;50;1;0;5;32;32;50;25000;1000;0;0;0;16;.158160;NA;.058859;9.256633;9.256613;9.410000;5;0
2.45;283;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.230060;NA;.073476;13.797220;13.797208;14.030000;5;0
2.54;283;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.226061;NA;.062582;14.158437;14.158431;14.380000;5;0
2.47;282;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.240041;NA;.071872;14.006203;14.006200;14.250000;5;0
2.64;283;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.240193;NA;.058900;13.499570;13.499551;13.740000;5;0
2.67;282;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.240582;NA;.051809;14.454210;14.454200;14.690000;5;0
2.43;282;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.239681;NA;.071445;13.854230;13.854210;14.090000;5;0
2.60;282;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.225920;NA;.063658;15.045606;15.045594;15.270000;5;0
2.53;283;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.225391;NA;.075054;14.907826;14.907815;15.130000;5;0
2.61;282;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.229604;NA;.076327;14.307923;14.307912;14.540000;5;0
2.44;282;1;0;1;32;50;1;0;5;32;32;75;25000;1000;0;0;0;16;.225108;NA;.056521;13.854871;13.854859;14.080000;5;0
3.04;305;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.008039;NA;.065375;.094425;.094414;.100000;5;66
2.88;305;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.007863;NA;.067773;.173602;.173592;.180000;5;40
2.91;303;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.008310;NA;.066344;.092361;.092340;.100000;5;69
2.89;304;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.007858;NA;.067345;.168788;.168777;.170000;5;40
3.05;305;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.006192;NA;.063805;.173831;.173827;.180000;5;37
3.17;304;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.006036;NA;.065600;.101574;.101561;.110000;5;65
3.07;304;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.006565;NA;.057803;.054105;.054095;.060000;5;98
2.91;304;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.014063;NA;.061126;.033348;.033340;.050000;5;133
2.92;303;1;0;1;32;51;1;0;5;32;32;0;25000;1000;0;0;0;16;.013036;NA;.053826;.085084;.085076;.100000;5;58
2.90;304;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.080736;NA;.085032;3.796911;3.796891;3.880000;6;2
2.93;305;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.081117;NA;.087403;3.439965;3.439952;3.520000;6;2
3.03;304;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.076481;NA;.076243;3.798675;3.798667;3.870000;6;2
2.88;305;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.082334;NA;.065771;4.047513;4.047508;4.130000;5;1
3.04;303;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.082833;NA;.068597;3.994764;3.994753;4.080000;6;1
2.92;305;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.079799;NA;.068116;3.544105;3.544094;3.620000;6;2
3.07;305;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.077851;NA;.064768;3.295736;3.295725;3.370000;5;2
2.86;303;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.074883;NA;.066549;3.691154;3.691143;3.770000;6;1
3.06;303;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.078804;NA;.068962;4.000563;4.000543;4.080000;6;1
2.91;305;1;0;1;32;51;1;0;5;32;32;25;25000;1000;0;0;0;16;.078976;NA;.087046;3.896796;3.896789;3.980000;5;2
3.03;303;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.152219;NA;.072712;6.237496;6.237491;6.390000;5;1
3.06;303;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.153258;NA;.081921;6.728053;6.728041;6.880000;6;1
2.90;304;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.155745;NA;.089550;6.379059;6.379048;6.530000;6;1
2.93;308;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.164306;NA;.051599;7.480322;7.480313;7.640000;6;0
3.08;304;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.149180;NA;.098592;7.543912;7.543893;7.690000;6;1
2.97;303;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.152433;NA;.092041;7.435959;7.435939;7.590000;6;1
3.08;304;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.152312;NA;.091130;6.927002;6.926991;7.080000;6;1
2.98;303;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.159181;NA;.055858;6.836908;6.836900;6.990000;6;0
2.92;304;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.151659;NA;.077566;7.929832;7.929819;8.080000;6;1
3.06;305;1;0;1;32;51;1;0;5;32;32;50;25000;1000;0;0;0;16;.152416;NA;.085976;7.944714;7.944697;8.100000;6;1
3.08;304;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.232348;NA;.079495;9.609245;9.609224;9.840000;6;0
2.99;304;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.229550;NA;.094573;11.834054;11.834047;12.060000;5;0
3.12;304;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.228425;NA;.077096;10.662034;10.662026;10.890000;6;0
2.87;305;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.235106;NA;.073962;11.893565;11.893546;12.130000;5;0
3.05;305;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.232628;NA;.091889;10.997810;10.997805;11.230000;5;0
2.91;304;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.233618;NA;.069307;10.390092;10.390086;10.620000;5;0
2.88;305;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.233411;NA;.089468;9.337732;9.337723;9.570000;6;1
2.87;304;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.241003;NA;.084461;9.304549;9.304545;9.540000;5;0
3.07;304;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.230294;NA;.091862;11.092745;11.092733;11.320000;5;0
2.89;304;1;0;1;32;51;1;0;5;32;32;75;25000;1000;0;0;0;16;.231742;NA;.069263;10.835220;10.835211;11.070000;6;0
2.45;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.006836;NA;.010089;.120228;.120212;.130000;4;12
2.54;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.006821;NA;.010971;.170520;.170509;.180000;4;8
2.43;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.008063;NA;.009001;.230423;.230416;.240000;4;6
2.39;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.017647;NA;.009978;.495199;.495196;.510000;4;2
2.55;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.007163;NA;.009792;.211198;.211180;.220000;4;6
2.56;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.006628;NA;.011422;.487398;.487387;.490000;4;3
2.43;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.006387;NA;.006404;.139440;.139429;.140000;4;7
2.55;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.007516;NA;.010324;.323607;.323596;.330000;4;5
2.39;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.006467;NA;.011030;.180385;.180377;.190000;4;8
2.59;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.006915;NA;.011748;.262265;.262253;.270000;4;6
2.69;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.013271;NA;.009164;2.652448;2.652440;2.670000;4;0
2.57;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.004134;NA;.012769;2.045028;2.045016;2.050000;4;0
2.65;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.013178;NA;.007226;3.230180;3.230170;3.240000;4;0
2.39;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.017423;NA;.009438;3.506606;3.506603;3.520000;4;0
2.54;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.005995;NA;.010964;2.211413;2.211401;2.220000;4;0
2.56;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.007676;NA;.007887;2.059306;2.059299;2.070000;4;0
2.60;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.018576;NA;.008864;3.686240;3.686233;3.700000;4;0
2.40;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.012144;NA;.010758;2.323122;2.323113;2.340000;4;0
2.58;283;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.007843;NA;.009662;3.578892;3.578881;3.590000;4;0
2.55;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.005846;NA;.012394;3.262886;3.262874;3.270000;4;0
2.55;283;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.017512;NA;.009738;7.740683;7.740674;7.760000;4;0
2.37;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.007802;NA;.007805;8.503441;8.503438;8.510000;4;0
2.53;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.012774;NA;.009802;5.025638;5.025630;5.040000;4;0
2.38;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;1.012941;NA;.017663;6.102244;6.102232;7.110000;4;0
2.52;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.007555;NA;.010039;3.394822;3.394817;3.400000;4;0
2.57;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.005079;NA;.010909;6.116593;6.116581;6.120000;4;0
2.68;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.007160;NA;.006759;5.755218;5.755207;5.760000;6;0
2.36;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.006843;NA;.011029;6.257061;6.257049;6.260000;4;0
2.58;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.012115;NA;.009061;11.173739;11.173736;11.180000;4;0
2.60;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;2;16;.017580;NA;.009482;4.398954;4.398946;4.410000;4;0
2.40;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;1.011925;NA;.020972;16.494889;16.494869;17.510000;4;0
2.58;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;.994552;NA;.012829;13.565354;13.565335;14.560000;4;0
2.62;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;.012677;NA;.008836;12.978198;12.978190;12.990000;4;0
2.56;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;2.027098;NA;.016987;19.351076;19.351068;21.380000;4;0
2.55;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;1.005700;NA;.013275;13.656074;13.656063;14.660000;4;0
2.39;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;1.015785;NA;.019400;15.088189;15.088168;16.100000;4;0
2.39;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;1.023619;NA;.020934;13.451271;13.451250;14.470000;4;0
2.56;283;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;.005861;NA;.009933;12.393467;12.393463;12.400000;4;0
2.38;282;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;1.027875;NA;.012128;14.026474;14.026452;15.050000;4;0
2.58;281;1;0;1;32;49;1;0;5;1000;1000;0;25000;1000;0;0;5;16;1.007968;NA;.018605;15.788227;15.788219;16.800000;4;0
2.63;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.005383;NA;.011005;.164570;.164549;.170000;4;10
2.43;283;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.007392;NA;.011419;.155810;.155805;.160000;4;10
2.57;283;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.006400;NA;.009222;.161480;.161462;.170000;4;9
2.47;283;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.007005;NA;.011315;.159049;.159038;.170000;4;10
2.59;283;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.007107;NA;.012149;.206821;.206809;.210000;4;7
2.59;284;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.005301;NA;.011821;.104102;.104090;.110000;4;15
2.59;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.018042;NA;.009399;.155360;.155356;.170000;4;8
2.58;284;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.007006;NA;.011055;.157074;.157070;.160000;4;9
2.59;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.007836;NA;.012902;.206199;.206187;.210000;4;8
2.57;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;0;16;.017822;NA;.013629;.150573;.150564;.170000;4;11
2.61;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.006456;NA;.009937;.386751;.386745;.390000;4;3
2.62;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.005774;NA;.009360;.583288;.583279;.590000;4;2
2.42;283;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.007015;NA;.011551;1.655064;1.655052;1.660000;4;1
2.50;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.012566;NA;.011694;.626616;.626605;.640000;4;2
2.62;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;2.048569;NA;.017657;.591413;.591392;2.640000;4;0
2.60;283;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;1.025515;NA;.023585;.422255;.422234;1.450000;4;2
2.42;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.007386;NA;.012257;.847655;.847643;.850000;4;2
2.62;282;1;0;1;32;50;1;0;5;1000;1000;0;25000;1000;0;0;1;16;.006883;NA;.011591;.967476;.967471;.970000;4;1
