program;c.domain;adv.model;protocol;partysize;comp.time(s);comp.peakRAM(MiB);bin.filesize(MiB);latencies(ms);bandwidths(Mbs);input_size;input2_size;packetdrops(%);runtime_internal(s);runtime_external(s);peakRAM(MiB);jobCPU(%);P0commRounds;P0dataSent(MB);ALLdataSent(MB);System time (s)
64;RING;semihonest;replicated-ring;3;0.96;38;1;0;25000;300;5;0;3.83136;4.03;182;918%;~167668;26.5318;79.5953;20.97
64;RING;semihonest;replicated-ring;3;1.10;38;1;0;25000;300;5;0;3.76793;3.99;180;932%;~167668;26.5318;79.5953;20.94
64;RING;semihonest;replicated-ring;3;1.00;38;1;0;25000;300;5;0;3.93788;4.14;184;900%;~167668;26.5318;79.5953;20.94
64;RING;semihonest;replicated-ring;3;0.98;38;1;0;25000;300;5;0;3.62825;3.83;182;951%;~167668;26.5318;79.5953;20.71
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.76001;4.00;179;923%;~167668;26.5318;79.5953;20.65
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.97441;4.18;184;912%;~167668;26.5318;79.5953;21.63
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.98179;4.23;182;905%;~167668;26.5318;79.5953;21.03
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.84319;4.06;186;933%;~167668;26.5318;79.5953;21.46
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.8605;4.07;182;928%;~167668;26.5318;79.5953;21.08
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.00459;4.24;180;909%;~167668;26.5318;79.5953;21.39
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.8355;4.06;174;927%;~167668;26.5318;79.5953;21.09
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.08154;4.32;180;891%;~167668;26.5318;79.5953;21.82
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.76315;3.96;182;913%;~167668;26.5318;79.5953;20.53
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.00456;4.26;182;908%;~167668;26.5318;79.5953;21.44
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.10204;4.33;179;894%;~167668;26.5318;79.5953;21.85
64;RING;semihonest;replicated-ring;3;1.02;38;1;0;25000;300;5;0;4.0328;4.25;182;880%;~167668;26.5318;79.5953;20.27
64;RING;semihonest;replicated-ring;3;0.98;38;1;0;25000;300;5;0;3.70754;3.90;183;924%;~167668;26.5318;79.5953;20.24
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.86113;4.05;182;933%;~167668;26.5318;79.5953;21.31
64;RING;semihonest;replicated-ring;3;1.00;38;1;0;25000;300;5;0;3.9791;4.22;182;903%;~167668;26.5318;79.5953;20.92
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.11554;4.32;180;903%;~167668;26.5318;79.5953;22.38
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.1695;4.39;184;885%;~167668;26.5318;79.5953;21.46
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.9449;4.16;180;923%;~167668;26.5318;79.5953;21.42
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;4.09824;4.35;182;891%;~167668;26.5318;79.5953;21.59
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.84921;4.04;178;935%;~167668;26.5318;79.5953;20.90
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;25000;300;5;0;3.96105;4.19;182;918%;~167668;26.5318;79.5953;21.04
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;300;5;0;4.08656;4.33;180;872%;~167668;26.5318;79.5953;21.03
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;300;5;0;4.1391;4.37;182;893%;~167668;26.5318;79.5953;20.97
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;300;5;0;4.18217;4.42;182;882%;~167668;26.5318;79.5953;21.30
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;300;5;0;4.13673;4.38;182;890%;~167668;26.5318;79.5953;21.78
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;10000;300;5;0;3.9995;4.24;182;875%;~167668;26.5318;79.5953;20.40
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;300;5;0;4.43694;4.65;184;859%;~167668;26.5318;79.5953;22.77
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;300;5;0;4.25423;4.46;182;896%;~167668;26.5318;79.5953;22.49
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;300;5;0;4.41411;4.62;182;867%;~167668;26.5318;79.5953;23.03
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;300;5;0;4.33831;4.55;182;874%;~167668;26.5318;79.5953;22.07
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;1000;300;5;0;4.48196;4.70;182;855%;~167668;26.5318;79.5953;22.49
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;300;5;0;8.15149;8.39;180;553%;~167668;26.5318;79.5953;24.87
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;300;5;0;8.01094;8.24;184;535%;~167668;26.5318;79.5953;23.79
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;300;5;0;7.94685;8.18;184;556%;~167668;26.5318;79.5953;24.29
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;300;5;0;8.08864;8.33;182;560%;~167668;26.5318;79.5953;25.41
64;RING;semihonest;replicated-ring;3;NA;NA;NA;0;100;300;5;0;8.0928;8.33;184;551%;~167668;26.5318;79.5953;24.99
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.054;268.01;178;27%;~167668;26.5318;79.5953;41.27
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.028;267.98;178;28%;~167668;26.5318;79.5953;42.43
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.072;268.04;178;27%;~167668;26.5318;79.5953;41.75
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.051;268.01;182;28%;~167668;26.5318;79.5953;43.05
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.025;267.99;176;28%;~167668;26.5318;79.5953;43.74
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.037;268.00;177;28%;~167668;26.5318;79.5953;43.96
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.063;268.03;182;27%;~167668;26.5318;79.5953;41.67
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.033;268.01;178;27%;~167668;26.5318;79.5953;42.46
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;266.054;268.04;178;28%;~167668;26.5318;79.5953;43.29
64;RING;semihonest;replicated-ring;3;NA;NA;NA;25;25000;300;5;0;265.984;267.94;172;28%;~167668;26.5318;79.5953;44.24
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.06;529.78;180;14%;~167668;26.5318;79.5953;42.92
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.028;529.74;180;14%;~167668;26.5318;79.5953;44.81
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.1;529.82;184;14%;~167668;26.5318;79.5953;45.03
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;525.937;529.64;183;14%;~167668;26.5318;79.5953;44.76
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.059;529.76;174;14%;~167668;26.5318;79.5953;46.04
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;525.981;529.68;174;14%;~167668;26.5318;79.5953;44.52
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.044;529.75;178;14%;~167668;26.5318;79.5953;45.21
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.094;529.80;180;14%;~167668;26.5318;79.5953;43.89
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.038;529.76;184;14%;~167668;26.5318;79.5953;44.84
64;RING;semihonest;replicated-ring;3;NA;NA;NA;50;25000;300;5;0;526.074;529.78;180;14%;~167668;26.5318;79.5953;44.88
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.104;791.56;180;10%;~167668;26.5318;79.5953;48.16
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;785.926;791.38;182;9%;~167668;26.5318;79.5953;44.16
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;785.992;791.46;177;9%;~167668;26.5318;79.5953;44.26
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.001;791.46;184;9%;~167668;26.5318;79.5953;43.74
64;RING;semihonest;replicated-ring;3;NA;NA;NA;75;25000;300;5;0;786.028;791.48;181;9%;~167668;26.5318;79.5953;45.09
